0x00000000,global_tags
0x00000004,sound\music\postmatch_new\headhunters\postmatch_headhunters
0x00000005,sound\music\postmatch_new\spartan_engage\postmatch_spartan_engage
0x00000006,sound\music\postmatch_new\spartan_hero\postmatch_spartan_hero
0x00000010,rasterizer\rasterizer_cache_file_globals
0x00000011,hf2p\global_textures_list
0x00000012,hf2p\global_files_list
0x00000013,globals\globals
0x000000AD,fx\scenery_fx\havok\havok_collection
0x000000AE,sound\sound_classes
0x000000AF,sound\global_fx
0x000000B0,sound\sound_mix
0x000000B1,sound\combat_dialogue_constants
0x000000B2,sound\default
0x000000B3,sound\ui_sounds
0x000000B4,ai\ai_dialogue_globals
0x000000B5,ai\normal
0x000000B6,ai\bunkering
0x000000B7,ai\assaulting
0x000000B8,globals\ai_globals
0x000000B9,globals\default_unit_camera_track
0x000000BA,sound\weapons\frag_grenade\frag_throw
0x000000BB,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000BC,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000BD,sound\weapons\plasma_grenade\throwgren
0x000000BE,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000BF,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000C0,sound\weapons\claymore_grenade\claymore_throw
0x000000C1,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000C2,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000C3,sound\weapons\firebomb\firebomb_throw
0x000000C4,ui\hud
0x000000C5,ui\editor
0x000000C6,ui\dialog
0x000000C7,rasterizer\plasma_noise
0x000000C8,ui\main_menu
0x000000C9,ui\multiplayer
0x000000CA,ui\chud\globals
0x000000CB,ui\global_strings\damage_strings
0x000000CC,hf2p\strings\main_strings
0x000000CD,hf2p\strings\settings_strings
0x000000CE,hf2p\strings\lobby_strings
0x000000CF,hf2p\strings\emblem_editor_strings
0x000000D0,hf2p\strings\carousel_strings
0x000000D1,hf2p\strings\consumable_strings
0x000000D2,hf2p\strings\weapon_strings
0x000000D3,hf2p\strings\ingame_strings
0x000000D4,hf2p\strings\armor_strings
0x000000D5,hf2p\strings\message_strings
0x000000D6,hf2p\strings\buy_strings
0x000000D7,hf2p\strings\game_mode_strings
0x000000D8,hf2p\strings\map_strings
0x000000D9,hf2p\strings\loading_strings
0x000000DA,hf2p\strings\tip_strings
0x000000DB,hf2p\strings\level_strings
0x000000DC,hf2p\strings\profile_strings
0x000000DD,hf2p\strings\class_strings
0x000000DE,hf2p\strings\manufacturer_strings
0x000000DF,hf2p\strings\medal_strings
0x000000E0,hf2p\strings\playlist_strings
0x000000E1,hf2p\strings\damage_reporting_type_strings
0x000000E2,hf2p\strings\challenge_strings
0x000000E3,hf2p\strings\career_strings
0x000000E4,hf2p\strings\mod_strings
0x000000E5,hf2p\strings\label_strings
0x000000E6,hf2p\strings\market_strings
0x000000E7,hf2p\strings\emblem_strings
0x000000E8,hf2p\strings\system_message_strings
0x000000E9,objects\characters\masterchief\fx\coop_teleport
0x000000EA,sound\weapons\battle_rifle\flashlight
0x000000EB,globals\damage_responses\default
0x000000EC,objects\characters\masterchief\mp_masterchief\fp\fp
0x000000ED,objects\characters\masterchief\mp_masterchief\fp_body\fp_body
0x000000EE,objects\characters\masterchief\mp_masterchief\mp_masterchief
0x000000EF,sound\game_sfx\ui\binoculars\binocs_in_click
0x000000F0,sound\game_sfx\ui\binoculars\binocs_out_click
0x000000F1,objects\characters\elite\mp_elite\mp_elite
0x000000F2,objects\characters\masterchief\mp_masterchief\mp_masterchief_ui
0x000000F3,objects\characters\elite\mp_elite\mp_elite_ui
0x000000F4,objects\characters\masterchief\mp_masterchief\mp_masterchief_manikin
0x000000F5,objects\characters\elite\mp_elite\mp_elite_manikin
0x000000F6,objects\characters\masterchief\mp_masterchief\mp_masterchief_podium
0x000000F7,objects\characters\elite\mp_elite\mp_elite_podium
0x000000F8,objects\characters\mp_spartan_female\mp_spartan_female
0x000000F9,objects\characters\mp_spartan_female\mp_spartan_female_ui
0x000000FA,objects\characters\mp_spartan_female\mp_spartan_female_manikin
0x000000FB,objects\characters\mp_spartan_female\mp_spartan_female_podium
0x000000FC,globals\falling
0x000000FD,globals\collision_damage\landing_soft
0x000000FE,globals\collision_damage\landing_hard
0x000000FF,globals\hs_damage
0x00000100,globals\distance
0x00000101,sound\materials\liquid\water_med
0x00000102,sound\materials\liquid\water_large
0x00000103,sound\materials\liquid\vehicle_water_looping\vehicle_water_looping
0x00000104,fx\material_effects\materials\liquid\liquid
0x00000105,fx\water\default_small
0x00000106,fx\water\default_medium
