0x00000000,global_tags
0x00000001,rasterizer\rasterizer_cache_file_globals
0x00000002,hf2p\global_textures_list
0x00000003,hf2p\global_files_list
0x00000004,globals\globals
0x000000C7,fx\scenery_fx\havok\havok_collection
0x000000C8,sound\sound_classes
0x000000C9,sound\global_fx
0x000000CA,sound\sound_mix
0x000000CB,sound\combat_dialogue_constants
0x000000CC,sound\default
0x000000CD,sound\ui_sounds
0x000000CE,ai\ai_dialogue_globals
0x000000CF,ai\normal
0x000000D0,ai\bunkering
0x000000D1,ai\assaulting
0x000000D2,globals\ai_globals
0x000000D3,globals\default_unit_camera_track
0x000000D4,sound\weapons\frag_grenade\frag_throw
0x000000D5,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000D6,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000D7,sound\weapons\plasma_grenade\throwgren
0x000000D8,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000D9,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000DA,sound\weapons\claymore_grenade\claymore_throw
0x000000DB,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000DC,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000DD,sound\weapons\firebomb\firebomb_throw
0x000000DE,objects\weapons\grenade\firebomb_grenade\firebomb_grenade
0x000000DF,objects\weapons\grenade\firebomb_grenade\projectiles\firebomb_grenade
0x000000E0,ui\hud
0x000000E1,ui\editor
0x000000E2,ui\dialog
0x000000E3,rasterizer\plasma_noise
0x000000E4,ui\main_menu
0x000000E5,ui\multiplayer
0x000000E6,ui\chud\globals
0x000000E7,ui\global_strings\damage_strings
0x000000E8,hf2p\strings\main_strings
0x000000E9,hf2p\strings\settings_strings
0x000000EA,hf2p\strings\lobby_strings
0x000000EB,hf2p\strings\emblem_editor_strings
0x000000EC,hf2p\strings\carousel_strings
0x000000ED,hf2p\strings\consumable_strings
0x000000EE,hf2p\strings\weapon_strings
0x000000EF,hf2p\strings\ingame_strings
0x000000F0,hf2p\strings\armor_strings
0x000000F1,hf2p\strings\message_strings
0x000000F2,hf2p\strings\buy_strings
0x000000F3,hf2p\strings\game_mode_strings
0x000000F4,hf2p\strings\map_strings
0x000000F5,hf2p\strings\loading_strings
0x000000F6,hf2p\strings\tip_strings
0x000000F7,hf2p\strings\level_strings
0x000000F8,hf2p\strings\profile_strings
0x000000F9,hf2p\strings\class_strings
0x000000FA,hf2p\strings\manufacturer_strings
0x000000FB,hf2p\strings\medal_strings
0x000000FC,hf2p\strings\playlist_strings
0x000000FD,hf2p\strings\damage_reporting_type_strings
0x000000FE,hf2p\strings\challenge_strings
0x000000FF,hf2p\strings\career_strings
0x00000100,hf2p\strings\mod_strings
0x00000101,hf2p\strings\label_strings
0x00000102,hf2p\strings\market_strings
0x00000103,hf2p\strings\emblem_strings
0x00000104,hf2p\strings\system_message_strings
0x00000105,objects\characters\masterchief\fx\coop_teleport
0x00000106,sound\weapons\battle_rifle\flashlight
0x00000107,globals\damage_responses\default
0x00000108,objects\characters\masterchief\mp_masterchief\fp\fp
0x00000109,objects\characters\masterchief\mp_masterchief\fp_body\fp_body
0x0000010A,objects\characters\masterchief\mp_masterchief\mp_masterchief
0x0000010B,sound\game_sfx\ui\binoculars\binocs_in_click
0x0000010C,sound\game_sfx\ui\binoculars\binocs_out_click
0x0000010D,objects\characters\elite\mp_elite\fp_arms\fp_arms
0x0000010E,objects\characters\elite\mp_elite\fp_body\fp_body
0x0000010F,objects\characters\elite\mp_elite\mp_elite
0x00000110,objects\characters\masterchief\mp_masterchief\mp_masterchief_ui
0x00000111,objects\characters\elite\mp_elite\mp_elite_ui
0x00000112,objects\characters\masterchief\mp_masterchief\mp_masterchief_manikin
0x00000113,objects\characters\elite\mp_elite\mp_elite_manikin
0x00000114,objects\characters\masterchief\mp_masterchief\mp_masterchief_podium
0x00000115,objects\characters\elite\mp_elite\mp_elite_podium
0x00000116,objects\characters\mp_spartan_female\mp_spartan_female
0x00000117,objects\characters\mp_spartan_female\mp_spartan_female_ui
0x00000118,objects\characters\mp_spartan_female\mp_spartan_female_manikin
0x00000119,objects\characters\mp_spartan_female\mp_spartan_female_podium
0x0000011A,globals\falling
0x0000011B,globals\collision_damage\landing_soft
0x0000011C,globals\collision_damage\landing_hard
0x0000011D,globals\hs_damage
0x0000011E,globals\distance
0x0000011F,sound\materials\liquid\water_med
0x00000120,sound\materials\liquid\water_large
0x00000121,sound\materials\liquid\vehicle_water_looping\vehicle_water_looping
0x00000122,fx\material_effects\materials\liquid\liquid
0x00000123,fx\water\default_small
0x00000124,fx\water\default_medium
0x00000125,fx\water\default_large
0x00000126,sound\materials\soft\soft_organic_cloth\cloth_hits
0x00000127,sound\materials\soft\soft_organic_cloth\cloth_hits_med
0x00000128,sound\materials\soft\soft_organic_cloth\cloth_looping\cloth_looping
0x00000129,fx\material_effects\materials\soft\soft_organic_cloth
0x0000012A,sound\materials\soft\organic_flesh\melee_impact
0x0000012B,sound\materials\soft\soft_organic_plant\soft_organic_plant_hits_actor
0x0000012C,sound\materials\soft\soft_organic_plant_leafy_dynamic\soft_organic_plant_leafy_dynamic\soft_organic_plant_leafy_dynamic
0x0000012D,sound\materials\soft\soft_organic_plant\soft_organic_plant_hits_actee
0x0000012E,fx\material_effects\materials\soft\soft_organic_plant
0x0000012F,sound\materials\hard\metal_thick\metal_thick_med
0x00000130,sound\materials\soft\terrain_snow\snow_small
0x00000131,sound\materials\soft\terrain_snow\snow_medium
0x00000132,sound\materials\soft\terrain_snow\snow_large
0x00000133,sound\materials\soft\terrain_snow\snow_looping\snow_looping
0x00000134,fx\material_effects\materials\soft\terrain_snow
0x00000135,sound\materials\tough\terrain_dirt\dirt_small
0x00000136,sound\materials\tough\terrain_dirt\dirt_med
0x00000137,sound\materials\tough\terrain_dirt\dirt_large
0x00000138,sound\materials\tough\terrain_dirt\dirt_looping\dirt_looping
0x00000139,fx\material_effects\materials\tough\terrain_dirt
0x0000013A,sound\materials\tough\rubber\rubber_small
0x0000013B,sound\materials\tough\rubber\rubber_med
0x0000013C,sound\materials\tough\plastic_looping\plastic_looping
0x0000013D,fx\material_effects\materials\tough\inorganic_rubber
0x0000013E,sound\materials\havok\tire\tire_hits
0x0000013F,fx\material_effects\materials\tough\inorganic_rubber_hum_tire
0x00000140,fx\material_effects\materials\tough\inorganic_plastic
0x00000141,sound\materials\tough\squish_hits
0x00000142,fx\material_effects\materials\tough\tough_floodflesh
0x00000143,sound\materials\tough\organic_wood\wood_small
0x00000144,sound\materials\tough\organic_wood\wood_med
0x00000145,fx\material_effects\materials\tough\organic_wood
0x00000146,sound\materials\tough\terrain_grass\grass_small
0x00000147,sound\materials\tough\terrain_grass\grass_med
0x00000148,sound\materials\tough\terrain_grass\grass_looping\grass_looping
0x00000149,sound\materials\tough\terrain_mud\mud_small
0x0000014A,sound\materials\tough\terrain_mud\mud_med
0x0000014B,sound\materials\tough\terrain_mud\mud_looping\mud_looping
0x0000014C,sound\materials\tough\terrain_gravel\gravel_small
0x0000014D,sound\materials\tough\terrain_gravel\gravel_med
0x0000014E,sound\materials\tough\terrain_gravel\gravel_looping\gravel_looping
0x0000014F,sound\materials\tough\terrain_sand\sand_small
0x00000150,sound\materials\tough\terrain_sand\sand_med
0x00000151,sound\materials\tough\terrain_sand\sand_looping\sand_looping
0x00000152,sound\materials\hard\terrain_stone\stone_small
0x00000153,sound\materials\hard\terrain_stone\stone_med
0x00000154,sound\materials\hard\metal_solid\metal_solid_large
0x00000155,sound\materials\hard\terrain_stone\stone_looping\stone_looping
0x00000156,fx\material_effects\materials\hard\terrain_stone
0x00000157,sound\materials\hard\metal_thin\metal_thin_small
0x00000158,sound\materials\hard\metal_thin\metal_thin_med_h3
0x00000159,sound\materials\hard\metal_thin\metal_thin_large
0x0000015A,sound\materials\hard\metal_thin\metal_thin_looping\metal_thin_looping
0x0000015B,fx\material_effects\materials\hard\metal_thin
0x0000015C,sound\materials\hard\metal_thin\human_weap_melee
0x0000015D,sound\materials\hard\metal_thick\vehicle_hit_human
0x0000015E,sound\materials\hard\metal_thin\metal_thin_cov_small
0x0000015F,sound\materials\hard\metal_thin\metal_thin_cov_elite_small
0x00000160,sound\materials\hard\metal_thin\metal_thin_cov_elite_small_looping\metal_thin_cov_elite_small_looping
0x00000161,fx\material_effects\materials\hard\metal_thin_cov_elite
0x00000162,sound\materials\hard\metal_thin\cov_weap_melee
0x00000163,sound\materials\hard\metal_thick\metal_thick_small
0x00000164,sound\materials\hard\metal_thick\metal_thick_looping\metal_thick_looping
0x00000165,fx\material_effects\materials\hard\metal_thick
0x00000166,fx\material_effects\materials\hard\hard_metal_thick_hum_scorpion_tread
0x00000167,fx\material_effects\materials\hard\metal_thick_cov
0x00000168,sound\materials\hard\metal_thick\hard_metal_thick_cov_hunter
0x00000169,sound\materials\hard\metal_thick\hit_ghost_small
0x0000016A,sound\materials\hard\metal_thick\hit_ghost
0x0000016B,sound\materials\hard\metal_thick\metal_thick_for_small
0x0000016C,sound\materials\hard\metal_thick\metal_thick_for_small_looping\metal_thick_for_small_looping
0x0000016D,fx\material_effects\materials\hard\metal_thick_for_sentinel
0x0000016E,sound\materials\hard\metal_solid\metal_solid_small_h3_actee
0x0000016F,sound\materials\hard\metal_solid\metal_solid_med_h3_actee
0x00000170,sound\materials\hard\metal_solid\metal_solid_looping\metal_solid_looping
0x00000171,fx\material_effects\materials\hard\metal_solid
0x00000172,sound\materials\hard\terrain_concrete\concrete_small
0x00000173,sound\materials\hard\terrain_concrete\concrete_melee
0x00000174,sound\materials\hard\terrain_concrete\concrete_looping\concrete_looping
0x00000175,fx\material_effects\materials\hard\terrain_concrete
0x00000176,sound\materials\hard\terrain_ice\ice_small
0x00000177,sound\materials\hard\terrain_ice\ice_med
0x00000178,sound\materials\hard\terrain_ice\ice_large
0x00000179,sound\materials\hard\terrain_ice\ice_looping\ice_looping
0x0000017A,globals\glass
0x0000017B,sound\materials\brittle\glass\glass_small
0x0000017C,sound\materials\brittle\glass\glass_med
0x0000017D,sound\materials\brittle\glass\glass_large
0x0000017E,sound\materials\brittle\glass\glass_looping\glass_looping
0x0000017F,fx\material_effects\materials\brittle\glass
0x00000180,sound\materials\energy\energy_small
0x00000181,sound\materials\energy\energy_medium
0x00000182,sound\materials\energy\blue_plasma_looping\blue_plasma_looping
0x00000183,fx\material_effects\materials\energy\energy
0x00000184,sound\materials\hard\metal_thin\metal_thin_hum_grating_small
0x00000185,sound\materials\hard\metal_thin\metal_thin_hum_grating_med
